episodeNum,speaker,line
178,DEAN,All you gotta do is bring Sam back.
179,SAM,Did I die? Did you sell your soul for me?  How long'd you get?
179,DEAN,One year.
179,SAM,What kind of blade can kill a demon?
179,BOBBY,Yesterday I'd've said there was no such thing.
179,DEAN,Who was that masked chick?
179,SAM,You ever run across a guy named Gordon Walker?
179,ELLEN,He is dangerous to everyone and everything around him.
179,DEAN,"Gordon should be reachin' for the soap, for the next few years, at least."
179,RUBY,I'm here because I want to help you.
179,SAM,What could you possibly—
179,RUBY,I can help you save your brother.
180,ANDY,"Father, God's not with us. (beat) Not anymore."
180,SAM,"Might've found some omens in Ohio. Dry lightning, barometric-pressure drop."
180,DEAN,"Well, that's thrilling."
180,DEAN,Or it could just be a suicide and a psycho scrapbooker.
180,SAM,"Yeah, but it's our best lead since Lincoln."
180,DEAN,Where in Ohio?
180,SAM,Elizabethville. It's a half-dead factory town in the rust belt.
180,DEAN,There's got to be a demon or two in South Beach.
180,BOBBY,Slow.
180,DEAN,"Eh, I tell you, it's a little sad seeing the Colt like that."
180,BOBBY,"Well, the only thing it's good for now is figuring out what makes it tick."
180,SAM,So what makes it tick?
180,DEAN,"(smiles) All right, come on, we're wasting the daylight."
180,SAM,"See you, Bobby."
180,BOBBY,Hey! You boys run into anything — anything — you call me.
180,DEAN,"Well,this shouldn't take long, then."
180,SAM,When did he stop?
180,SAM,Change how?
180,SAM,Possessed?
180,SAM,"Father, did you know the man who killed those folks in the hobby shop?"
180,SAM,Tony Perkins.
180,SAM,"Would you say that his personality suddenly changed one day, too?"
180,DEAN,Richie.  (The other guy looks up.)  I don't believe it.
180,RICHIE,"Hey, Dean... Winchester, right?"
180,DEAN,Yeah.
180,RICHIE,"This is my sister, uh, Cheryl."
180,CHERYL,Hey.
180,DEAN,Cheryl.
180,DEAN,"Come on in. This is my brother, Sam."
180,RICHIE,Hey. How you doing?
180,SAM,Not too bad. How do you two know each other?
180,DEAN,You were in school.
180,RICHIE,"It was that succubus, in Canarsie right?"
180,DEAN,"Yeah, yeah."
180,RICHIE,"Oh, man. You should have seen the rack on this broad. Freakin' tragedy when I had to gank her."
180,DEAN,"Whoa, whoa. Wait. Who killed her? If I remember, your ass was toast until I showed up."
180,RICHIE,"Oh, I forgot what a comedian this guy was."
180,DEAN,"Richie, Richie, know what?  I told you then and I'll tell you again — you're not cut out for this job. You're gonna get yourself killed."
180,DEAN,"So you find anything in this town, anyway?"
180,DEAN,Yeah.
180,RICHIE,"No, I got nothing."
180,DEAN,Typical. What about your sister back there?
180,SAM,"Yeah, that's where we are, too. You know, let's just say that demons are possessing people in this town.  You know, raising hell—"
180,DEAN,"Yeah, but why would a demon blow his brains out?"
180,RICHIE,"Well, for fun? You know he wrecks one body, moves to another. You know, like taking a stolen car for a joyride."
180,DEAN,"Anybody else left in the town that fits the profile — you know, nice guy turned douche, still breathing?"
180,RICHIE,There's Trotter.
180,SAM,Who's that?
180,RICHIE,"Well, he used to be head of the Rotary Club. And then people say he turned bastard all of a sudden?  Brought in the gambling, the hookers. ... Ah, he practically owns this whole town."
180,SAM,Know where we could find him?
180,RICHIE,"Oh, he'll be at his bar in a few hours."
180,SAM,"It is. At least, it's supposed to be."
180,DEAN,"Well, what are we waiting for? Let's do some research.  (DEAN looks excited to follow a bunch of attractive women.  From a car, a woman in a miniskirt watches him, then gestures for him to come.  DEAN approaches the car and looks at her, smiling; SAM comes back to fetch DEAN and smiles embarrassedly at the woman as he pulls DEAN away."
180,DEAN,"Oh, Richie. Look at you."
180,RICHIE,Hey.
180,DEAN,Bringing satin back.
180,SAM,"How much is ""forget about it""?"
180,RICHIE,"Ah, forget about it. That's Trotter over there. He sits there all night. Can't touch him."
180,SAM,"So,what do we do now?"
180,DEAN,"I don't know about you guys, but I'm gonna do a little investigating with that bartender."
180,RICHIE,"Easy. Me and her, we got a little ... somethin'-somethin' lined up for later."
180,DEAN,"Yeah, right."
180,RICHIE,"Stings, don't it? All right. I got to hit the head, release the hostages. Be back in a few."
180,DEAN,"No way he gets a girl like that. I mean, look at her. You could fit that ass on a nickel."
180,DEAN,"Oh. (laughs) Sorry, Padre."
180,SAM,"No offense, but what are you doing here, Father?"
180,CASEY,"Plus, the clergy drinks for free."
180,CASY,"Not in this lifetime, Father."
180,CASEY,What can I get you boys?
180,DEAN,What's your speciality?
180,CASEY,I make a mean hurricane.
180,DEAN,I guess we'll see about that.
180,DEAN,I do now.
180,JOHN,Reggie. Everything okay with you?
180,REGGIE,I don't know. I'm just not feeling myself today.
180,(JOHN,"Hey, what are you doing?!)"
180,SAM,Somebody call 911!
180,SAM,Too many cops here. I say we roll.
180,DEAN,Just be cool. Poor jerk. Only thing possessing him was a sixer of Pabst.
180,SAM,"So, what's the deal, then?  People in this town getting possessed or not?"
180,DEAN,I don't know. Maybe it is just what it is — town full of scumbags.
180,SAM,Yeah. Maybe.
180,SAM,"Yep, time to go. (rising)"
180,DEAN,Wait a second. Wait a second.
180,SAM,What?
180,DEAN,Where's Richie?
180,RICHIE,"So, how's a bartender afford a place like this?"
180,CASEY,My parents left it to me.  I don't come out here much — mostly when I want to be alone.
180,RICHIE,"Wow. This is, uh, ... charming?   (pause)  You sure you wouldn't be more comfortable in a bedroom or my motel room?  I mean, not for nothing, but, you know, I got oils. (laughs)"
180,CASEY,But I have toys.
180,RICHIE,"Yeah, no. Toys trump oils."
180,DEAN,"How many times i got to tell Richie, he's gonna get himself in trouble?"
180,SAM,"Dean, you're assuming he's missing. I mean, maybe he just bailed."
180,DEAN,"He's a moron. I mean, he's a sweet moron, but he's not a coward. He wouldn't just bail. I got to go find him."
180,SAM,All right.  Meanwhile I think I'm gonna trail this Trotter guy.
180,DEAN,Yeah?
180,RUBY,Cute piece.
180,BOBBY,Who are you?
180,RUBY,"It won't stop a demon, if that's what you think."
180,BOBBY,How the hell would you know?
180,BOBBY,"Well, ain't I lucky, then? Found a subject for a test fire."
180,RUBY,"Luck had nothing to do with it. But, hey, by all means. Take your best shot.  (She poses in front of the target, arms outstretched.)"
180,RUBY,"(sighs in exasperation) Are you gonna stand there like a pantywaist, or are you gonna shoot…"
180,RUBY,Ouch!  That smarts a little.
180,BOBBY,What do you want?
180,RUBY,Peace on earth.  A new shirt. Now ... do you want me to help you out with that gun or not?  Hmm?
180,SAM,Dean. (in a hushed voice)
180,DEAN,Sammy.
180,SAM,Yeah. Hey. I can't talk right now.
180,DEAN,You okay?
180,SAM,"Yeah, I'm fine. Just, uh ...  meet me at the bar in 20 minutes, okay?"
180,DEAN,Sam!
180,DEAN,"Well, hey.  Anybody could have tackled that guy … and wrestled the gun away ... prevented mass murder."
180,WOMAN,What do I look like? (as she walks away) Cheapskate.
180,CASEY,(laughs) Did I just see you strike out with a prostitute? How's that work?
180,DEAN,"Well, I just told her I had a thing for the bartender. It was pretty easy."
180,CASEY,Who says the bartender's available?
180,DEAN,"That's a good question.  You got something going with some guy, you know, about yea tall, wears a sweatsuit ...?"
180,CASEY,Who?
180,DEAN,Naw. My mistake. What do you say you and me grab a drink after your shift?
180,CASEY,I say why wait ... when we can go right now?
180,SAM,I think maybe you know.
180,TROTTER,"Yeah?  Well, I think I'm calling the cops!"
180,TROTTER,"Breaking and entering, assault — you're in a peck of trouble, my friend."
180,SAM,"Uh, wh-, uh ...  I think I could probably explain it—"
180,TROTTER,Money's in the safe! Take it and go.
180,SAM,I don't want your money. I just got to be sure.
