episodeNum,speaker,line
1,MARY,"Come on, let's say good night to your brother."
1,DEAN,"'Night, Sam."
1,MARY,"Good night, love."
1,MAN,"Hey, Dean."
1,DEAN,Daddy!
1,JOHN,"Hey, buddy."
1,JOHN,So what do you think? You think Sammy's ready to toss around a football yet?
1,DEAN,"No, Daddy."
1,JOHN,No.
1,MARY,You got him?
1,JOHN,I got him.
1,JOHN,"Sweet dreams, Sam."
1,MARY,John?
1,MARY,John? Is he hungry?
1,MAN,Shhh.
1,MARY,All right.
1,MARY,Hm.
1,MARY,Sammy! Sammy!
1,JOHN,Mary?
1,JOHN,Mary!
1,JOHN,Mary.
1,JOHN,"Hey, Sammy. You okay?"
1,JOHN,No! Mary!
1,DEAN,Daddy!
1,JOHN,"Take your brother outside as fast as you can and don't look back! Now, Dean, go!"
1,JOHN,Mary!
1,JOHN,No!
1,DEAN,"It's okay, Sammy."
1,JOHN,I gotcha.
1,FIREFIGHTER,I got it. You go hold the line up.
1,OFFICER,Stay back. You have to stay back.
1,JESS,"Get a move on, would you?"
1,JESS,We were supposed to be there like fifteen minutes ago.
1,JESS,Sam!
1,JESS,You coming or what?
1,SAM,Do I have to?
1,JESS,Yes!
1,JESS,It'll be fun.
1,JESS,And where's your costume?
1,SAM,You know how I feel about Halloween.
1,JESS,So here's to Sam—
1,JESS,—and his awesome LSAT victory.
1,SAM,"All right, all right, it's not that big a deal."
1,JESS,"Yeah, he acts all humble."
1,JESS,But he scored a one seventy-four.
1,LUIS,Is that good?
1,JESS,Scary good.
1,LUIS,So there you go. You are a first-round draft pick. You can go to any law school you want!
1,SAM,"Actually, I got an interview here. Monday. If it goes okay I think I got a shot at a full ride next year."
1,JESS,Hey. It's gonna go great.
1,SAM,It better.
1,LUIS,How does it feel to be the golden boy of your family?
1,SAM,"Ah, they don't know."
1,LUIS,"Oh, no, I would be gloating! Why not?"
1,SAM,Because we're not exactly the Bradys.
1,LUIS,And I'm not exactly the Huxtables. More shots?
1,SAM,No.
1,JESS,"No, seriously. I'm proud of you. And you're gonna knock 'em dead on Monday—"
